NAME,PRICE,IMAGE,STOCK,DESCRIPTION,ACTIVE
Anise,2.0,http://theepicentre.com/wp-content/uploads/2012/07/anise.jpg,20,"Though the roots and leaves are also edible, it is the seeds that we will concern ourselves here. The seeds are grey-green to brownish, ribbed and ovate, measuring 2 -4 mm (.08 -.16 in) long. Some seeds retain the fine stalk that passes through the centre of the fruit.",TRUE
Cinnamon,4.0,http://theepicentre.com/wp-content/uploads/2012/07/cinnamon.jpg,33,"Cinnamon is the inner bark of a tropical evergreen tree. A native of Sri Lanka (formerly Ceylon) the best cinnamon grows along the coastal strip near Colombo. In ancient Egypt cinnamon was used medicinally and as a flavouring for beverages, It was also used in embalming, where body cavities were filled with spiced preservatives.",TRUE
Coriander,5.0,http://theepicentre.com/wp-content/uploads/2012/07/Coriander.jpg,85,"Coriander is the seed of a small plant. The seeds are almost spherical, one end being slightly pointed, the other slightly flattened. There are many longitudinal ridges. The length of the seed is 3 – 5 mm (1/8” – 3/16”) and the colour, when dried, is usually brown, but may be green or off white.",TRUE
Cumin,7.0,http://theepicentre.com/wp-content/uploads/2012/07/cumin.gif,16,"Cumin is the seed of a small umbelliferous plant. The seeds come as paired or separate carpels, and are 3-6mm (1/8-1/4 in) long. They have a striped pattern of nine ridges and oil canals, and are hairy, brownish in colour, boat-shaped, tapering at each extremity, with tiny stalks attached. They resemble caraway seeds, but are lighter in colour and unlike caraway, have minute bristles hardly visible to the naked eye.",TRUE
Dill,1.0,http://theepicentre.com/wp-content/uploads/2012/07/dill2.jpg,22,"A native to Europe, it is a Russian favourite and can be cultivated near the Arctic Circle. Both seeds and leaves are edible. It was known as a medicinal herb to the ancient Greeks and Romans, where soldiers placed burned dill seeds on their wounds to promote healing.",TRUE
Curry leaves,12.0,http://theepicentre.com/wp-content/uploads/2012/07/curry-leaves.jpg,48,"Kari (or curry leaves) is grown all over India and has been used for centuries in South India and Sri Lanka as a flavoring for curries, chutneys, vegetables, and beverages. South Indian traders introduced it into Malaysia, Burma, and Singapore. When the British were in India, they called them curry leaves, naming it after the seasoned sauce (called kari in Tamil) that it was added to.",TRUE
Garam Masala,8.0,http://theepicentre.com/wp-content/uploads/2012/08/garam-masala.jpg,51,Garam masala is a wonderfully aromatic blend of spices from India. Garam means “hot” or “heating” and masala means “spice blend”. The “hot” is not necessarily referring to the kind of heat we find in hot chillies but to the fact that the spices are first toasted then ground.,TRUE
Ginger,2.0,http://theepicentre.com/wp-content/uploads/2012/07/ginger.jpg,69,"Ginger is native to India and China. It takes its name from the Sanskrit word stringa-vera, which means “with a body like a horn”, as in antlers.It has been important in Chinese medicine for many centuries, and is mentioned in the writings of Confucius. Although often called “ginger root” it is actually a rhizome. It is available in various forms, the most common of which are Whole raw roots, generally referred to as fresh ginger. Whole fresh roots provide the freshest taste.",TRUE
Horseradish,6.0,http://theepicentre.com/wp-content/uploads/2012/07/horseradish2.jpg,108,"The origins of horseradish are obscure. Native to Mediterranean lands, by the sixteenth century it was reported growing wild in Britain where it was referred to a “red cole”. Horseradish is one of the bitter herbs, eaten during the Jewish Passover as a reminder of the bitterness of their enslavement by the Egyptians. It has long been valued for its medicinal properties and is still popular with natural therapists to help relieve respiratory congestion.",TRUE
Licorice,11.0,http://theepicentre.com/wp-content/uploads/2012/07/licorice2.jpg,12,"Licorice gets its name from the Greek glyks, meaning sweet and rhiza meaning root. It is the sweet tasting rhizomes (underground stems) and roots that are used as flavourings. It is native to south-eastern Europe and the Middle East, where it grows wild. It was known to the Greeks, mentioned in the Hippocratic texts, and to the Romans, who made licorice extract as we do today.",TRUE
